department,course_number,course_title
ARCTIC   ,102,ELEMENTARY INUKTITUT
ARCTIC   ,200,ARCTIC RELATIONS
ARCTIC   ,391,CLIMATE CHANGE PERSP
HONORS   ,211,HONORS HUMANITIES 2 
HONORS   ,221,HONORS SCIENCE 2
HONORS   ,231,HONORS SOC SCI 2
HONORS   ,241,HONORS FINE ARTS 2
HONORS   ,345,INTER WRITING SEM
HONORS   ,391,H-INTERDIS STDY I
HONORS   ,394,H-INTERDIS STDY IV
HONORS   ,397,H-SPEC TPCS SOC SCI 
HONORS   ,398,H-SPEC TOPICS HUM
HONORS   ,496,H-CORE INTEGRATION
HONORS   ,499,IND STUDY/RESEARCH
ACADEM   ,198,RESEARCH SEMINARS
LEAD   ,495,LEAD E-PORT
AFRAM   ,150,INTRO AF AM HISTORY 
AFRAM   ,260,AF-AM FAMILIES
AFRAM   ,272,SOUTH SINCE CVL WAR 
AFRAM   ,318,BLACK LIT GENRES
AFRAM   ,337,MUS & SOC CHANGE
AFRAM   ,499,IND STUDY & RESEARCH
AES   ,212,COMP AM ETHNIC LIT
AES   ,322,GEND RACE CLASS
AES   ,340,RACE ETHNICITY & ED 
AES   ,440,RACE ARCHIVES MEMORY
AES   ,461,RACE REL IN AMERCAS 
AES   ,494,COMMUNITY INTERN
AES   ,496,HNRS SENIOR THESIS
AES   ,498,AES SPECIAL TOPICS
AES   ,499,IND STDY & RESEARCH 
AAS   ,206,CNTMPRY ISS AS/PI AM
AAS   ,250,ASIAN AM ORAL HISTS 
AAS   ,350,CRIT CHIN-AMER HIST 
AAS   ,372,INTRNMT CMPS N AMER 
AAS   ,406,ASIAN AM ACTIVISM
AAS   ,498,SPECIAL TOPICS
AAS   ,499,UNDERGRAD IND STDY
CHSTU   ,101,CHICANO/MEX EXPNCE
CHSTU   ,254,NW LATINOS
CHSTU   ,260,INTRO CHICANO POLIT 
CHSTU   ,332,CHICANO FILM
CHSTU   ,352,LATINA/O MIGRATIONS 
CHSTU   ,498,SPCL TOPICS CH STU
CHSTU   ,499,IND STUDY & RESEARCH
SWA   ,102,BASIC SWAHILI
SWA   ,202,INTERMED SWAHILI
TAGLG   ,102,BASIC TAGALOG
TAGLG   ,202,INTERMEDIATE TAGALOG
AIS   ,103,INDIGENOUS PAC NW
AIS   ,202,CONTEMP & SOC ISSUES
AIS   ,314,AM IND LANG-SALISH
AIS   ,340,INDIAN CHILD & FAM
AIS   ,375,TPCS INDGENOUS STDY 
AIS   ,431,HIST AMERIND EDUCTN 
AIS   ,443,INDGN FILM/SVRN VIS 
AIS   ,497,INTERNSHIP
AIS   ,499,INDEPENDENT STUDY
AIS   ,590,SPECIAL TOPICS
ANTH   ,215,MED ANTH/ GLBL HLTH 
ANTH   ,228,IDENTITIES
ANTH   ,269,SPECIAL TOPICS
ANTH   ,302,MED ANTH/SOC JUSTIC 
ANTH   ,306,PAC ISLAND POWER
ANTH   ,311,CLTR POL DIET &NUTR 
ANTH   ,313,PEOPLES OF AFRICA
ANTH   ,322,COMPAR STUDY DEATH
ANTH   ,328,GENDER SEX CHINA
ANTH   ,369,SPEC PROB IN ANTH
ANTH   ,373,LABOR IN HEALTHCARE 
ANTH   ,377,ANTH & INTRNTL HLTH 
ANTH   ,425,ANTH POST-SOVIET
ANTH   ,427,ANTH IN URBAN SETS
ANTH   ,433,SOCIOLINGUISTICS II 
ANTH   ,444,REPRESENT MOD CHINA 
ANTH   ,453,FEMALE CIRCUMCISION 
ANTH   ,456,CONTEMP ETHNOGRAPHY 
ANTH   ,466,ANTH HONORS THESIS
ANTH   ,478,INTRO ANTH INST
ANTH   ,479,ADV TOPICS MED ANTH 
ANTH   ,489,ANTH PRACTICUM
ANTH   ,497,US ASYLM & RFUG LAW 
ANTH   ,499,UNDERGRAD RESEARCH
ANTH   ,560,DISCOURSE & CULTURE 
ANTH   ,567,THEORY SC ANTH
ANTH   ,569,SPEC TOPICS SC ANTH 
ANTH   ,600,INDEPNDNT STDY/RSCH 
ANTH   ,700,MASTERS THESIS
ANTH   ,800,DOCTORAL DISSERTATN 
